"","Quality","Alcohol","Density","pH"
"133",7.27275341190398,12.5,0.99444,3.31
"134",5.82817134447396,10.7,0.9969,3.28
"135",7.62072560912929,11.8,0.9973,3.09
"136",6.50714517757297,10.9,0.99483,3.55
"137",7.57313571171835,12.9,0.99264,3.56
"138",6.779949571006,9.5,0.9969,3.41
"139",5.70043344795704,9.4,0.9978,3.51
"140",5.98086637537926,9.4,0.9978,3.51
"141",6.63052716339007,9.4,0.9975,3.27
"142",6.69086680794135,13.4,0.997,3.06
"143",6.37751361518167,10.6,0.9948,3.39
"144",7.42487919819541,11,0.99534,3.4
"145",7.35279187140986,10.5,0.998,2.92
"146",5.63267906289548,9.5,0.9965,2.94
"147",5.18850855273195,9,0.99706,3.41
"148",6.20113082230091,9.9,0.9972,2.93
"149",5.27098127151839,11.1,0.9941,3.28
"150",7.76183315017261,12.1,0.99586,3.21
"151",6.55919562722556,9.2,0.9969,3.04
"152",5.24165994906798,12.9,0.99256,3.52
"153",7.12041241652332,12.1,0.99586,3.21
"154",7.68079420737922,11.5,0.9978,3.05
"155",5.80174365546554,9.7,1.0006,3.48
"156",5.98816731688567,9.1,0.9982,3.08
"157",5.09089623112231,9.5,0.9978,3.34
"158",6.69320115959272,10.3,0.999,3.41
"159",5.05452765710652,9.6,0.9969,3.48
"160",6.33057129359804,9.5,0.9971,3.45
"161",6.60435291170143,10.7,0.9955,3.42
"162",6.39387900615111,10.8,1.0014,3.01
"163",7.78675959794782,13.6,0.99157,3.68
"164",7.11137610394508,10.2,0.99769,3.44
"165",5.04209055984393,11,0.9966,3.36
"166",6.12511939555407,11.8,0.99474,3.26
"167",7.12564303842373,12,0.9962,3.2
"168",5.19608914270066,9.3,0.99592,3.27
"169",5.83659725286998,9.4,0.99666,3.2
"170",5.11173531319946,9.5,0.9968,3.23
"171",5.03111186344177,10.4,0.99783,3.1
"172",5.0565178617835,9.3,1.0014,3.32
"173",6.72469280660152,9.2,1,3.17
"174",7.8857165472582,11.8,0.99524,3.3
"175",6.94869682658464,11.9,0.99638,3.18
"176",5.18286541802809,9.7,0.9954,3.27
"177",6.31849442562088,12.5,0.998,3.23
"178",5.57363840821199,9.3,0.9967,3.26
"179",6.68150713085197,9.4,0.9994,3.35
"180",7.14644760545343,10.2,0.9964,3.35
"181",5.58798965485767,9.5,0.99746,3.51
"182",5.28295181808062,10.5,0.9973,3.42
"183",5.7967329537496,11.5,0.9934,3.74
"184",5.27458396670409,9.7,0.99743,3.53
"185",7.7363933196757,10.6,0.9986,3.12
"186",5.5280698237475,10,0.99692,3.29
"187",6.5788584521506,10.4,0.9997,3.1
"188",5.9585427721031,12.8,0.99374,3.41
"189",6.06768864369951,12,0.99536,3.22
"190",5.76706554065458,11,0.9966,3.36
"191",6.13712680200115,9.2,1.0015,3.16
"192",5.58740185201168,9.5,0.9992,3.46
"193",5.35531767085195,10.1,0.99464,3.36
"194",5.37562058540061,9.1,0.9974,3.26
"195",6.04160838178359,11.8,0.99543,3.39
"196",5.91259841155261,9.4,0.99735,3.31
"197",6.18273776536807,11.5,0.99508,3.45
"198",7.9901302147191,11.2,0.99428,3.45
"199",5.24433456035331,9.5,0.9968,3.2
"200",6.29029123182409,10.1,0.9984,3.19
"201",6.32166095566936,9.2,0.9988,2.94
"202",5.73563191550784,9.8,0.997,3.26
"203",5.74439268792048,9.2,0.998,3.49
"204",5.29322726698592,9.8,0.99712,3.4
"205",6.91411001095548,10.3,0.99612,3.4
"206",6.16471025254577,9.4,0.997,3.37
"207",5.99929983727634,9,0.9978,3.31
"208",6.83745776466094,10.5,0.99774,3.32
"209",6.1876344664488,10.7,0.9987,3.29
"210",5.60481060133316,9.3,0.9973,3.08
"211",6.47903760732152,11.2,0.99512,3.52
"212",7.7645212020725,11.5,0.99495,3.44
"213",6.39549524430186,9.7,1.0002,3.16
"214",6.81116518308409,11.5,0.99357,3.66
"215",5.35646860930137,9.3,0.9969,3.46
"216",6.48684101295657,9.5,0.999,3.28
"217",5.69548966293223,9.2,0.9967,3.29
"218",6.76190750137903,9,0.99675,3.37
"219",5.41382825002074,10,0.9956,3.4
"220",6.58478236221708,10,0.99787,3.22
"221",7.61048787133768,12,0.99745,3.29
"222",5.62207151716575,10.5,0.99584,3.35
"223",5.83492696401663,9.7,0.9993,3.67
"224",5.75343463430181,9.4,0.9991,3.39
"225",5.56625299458392,9.8,0.99748,3.48
"226",5.42959864344448,9.2,0.9968,3.49
"227",5.52326816716231,9.2,0.99669,3.32
"228",5.75404246849939,9.9,0.9994,3.47
"229",6.30562250083312,10.1,0.9996,3.28
"230",5.64035459375009,9.7,0.99606,3.34
"231",5.24644866818562,9.7,0.9982,3.52
"232",6.76673257513903,9.2,1.0015,3.16
"233",6.58208117005415,10.3,0.99528,3.6
"234",6.95000348170288,9.4,0.9993,3.45
"235",6.33484916412272,11.1,0.99566,3.32
"236",6.23339887335896,10.8,0.99655,3.35
"237",5.84833982563578,9.8,0.9998,3.48
"238",5.96845139632933,9.8,0.9942,3.17
"239",5.83329683495685,10.2,0.9956,3.34
"240",6.37191983871162,10.6,0.9948,3.39
"241",6.62161438236944,10.4,0.9994,3.12
"242",6.92242766497657,9.9,0.9982,3.37
"243",5.04239462479018,9.3,0.9955,3.34
"244",6.99013713235036,10.9,0.99724,3.33
"245",5.8798333927989,9.8,0.99689,3.59
"246",6.8136205424089,11.3,0.99586,3.51
"247",5.16040279343724,9.4,0.9966,3.22
"248",6.42226204671897,11.9,0.9963,3.44
"249",6.70838556648232,9.3,1.0002,3.5
"250",5.43744754116051,10.2,0.99665,3.44
"251",5.06805588817224,9.2,0.9982,3.08
"252",6.77466698060744,9.2,0.9972,3.29
"253",6.45282019372098,10.75,0.99472,3.3
"254",4.7730203573592,9.1,0.9972,3.36
"255",5.5947958456818,9.2,0.9959,3.05
"256",5.94571432238445,9.5,0.99708,3.28
"257",6.91432879655622,10,0.9982,3.17
"258",5.49995629582554,9.5,0.9969,3.25
"259",6.36509682936594,10.8,0.99448,3.44
"260",6.03259604680352,11.5,0.99331,3.29
"261",5.39188218466006,9.9,0.9962,3.25
"262",5.98794828588143,9.4,0.9969,3.16
"263",5.95241845049895,10.8,0.99518,3.41
"264",6.70416508964263,9.3,0.9986,3.12
"265",4.98497449560091,11.2,0.9958,3.54
"266",6.18964910693467,11.3,0.99939,3.21
"267",6.77643110509962,9.9,1.0004,3.28
"268",7.44955467036925,10.2,0.9966,3.52
"269",6.41886221407913,11,0.99627,3.54
"270",5.73769256519154,9.2,0.9974,3.25
"271",6.46558745554648,9.8,0.99616,3.26
"272",6.65045644831844,11.1,0.99518,3.16
"273",7.69840038428083,11,0.9978,3.15
"274",7.72129002003931,11,0.99604,3.47
"275",6.15548953576945,11.9,0.9936,3.5
"276",5.32211620314047,9.4,0.9984,3.31
"277",5.0438696090132,9.5,0.9958,3.35
"278",6.90909428917803,9.5,0.9958,3.33
"279",5.10585800744593,13,0.9937,3.63
"280",5.1449853091035,9.5,0.9964,3.23
"281",5.32388544664718,9.4,0.9954,3.34
"282",5.97191629675217,9.3,0.9988,3.09
"283",6.53592282859609,11.1,0.99692,3.33
"284",5.37946259463206,9.6,0.9972,3.13
"285",5.00736463069916,11,0.9966,3.15
"286",5.6927276190836,9.4,0.9963,3.28
